date,player_name,player_id,team,league,opponent,home_away,ab,hits,home_runs,rbi,bb,so,game_pk
2026-03-30,Nick Kurtz,701762,OAK,AL,,Away,4,0,0,0,0,1,824943
2026-03-30,Pete Alonso,624413,NYM,NL,,Home,4,1,0,0,0,2,824863
2026-03-30,Pete Crow-Armstrong,691718,CHC,NL,,Home,3,1,0,0,1,1,824702
2026-03-30,Riley Greene,682985,DET,AL,,Away,5,2,0,1,0,1,825108
2026-03-30,Shohei Ohtani,660271,LAD,NL,,Home,4,1,0,0,0,1,823972
2026-03-30,Taylor Ward,621493,LAA,AL,,Home,4,1,0,0,0,0,824863
2026-03-30,Trent Grisham,663757,NYY,AL,,Away,4,0,0,0,0,1,823159
2026-03-30,Vinnie Pasquantino,686469,KC,AL,,Home,2,0,0,0,2,1,824135
2026-03-31,Aaron Judge,592450,NYY,AL,,Away,4,0,0,0,0,2,823158
2026-03-31,Cal Raleigh,663728,SEA,AL,,Home,4,0,0,0,0,2,823158
2026-03-31,Corbin Carroll,682998,ARI,NL,,Home,3,1,0,2,1,1,825107
2026-03-31,Eugenio Suarez,553993,ARI,NL,,Home,5,1,0,0,0,2,824537
2026-03-31,Hunter Goodman,696100,COL,NL,,Away,4,1,1,1,0,1,822836
2026-03-31,Jo Adell,666176,LAA,AL,,Away,4,1,0,0,0,1,824699
2026-03-31,Juan Soto,665742,NYM,NL,,Away,4,2,0,0,0,1,823077
2026-03-31,Junior Caminero,691406,TB,AL,,Away,3,1,0,0,1,1,823807
2026-03-31,Kyle Schwarber,656941,PHI,NL,,Home,3,1,1,1,1,1,823485
2026-03-31,Michael Busch,683737,CHC,NL,,Home,3,0,0,0,0,0,824699
2026-03-31,Nick Kurtz,701762,OAK,AL,,Away,4,0,0,0,0,3,824942
2026-03-31,Pete Alonso,624413,NYM,NL,,Home,4,2,1,1,0,1,824861
2026-03-31,Pete Crow-Armstrong,691718,CHC,NL,,Home,3,0,0,0,0,2,824699
2026-03-31,Riley Greene,682985,DET,AL,,Away,4,1,0,2,0,0,825107
2026-03-31,Shohei Ohtani,660271,LAD,NL,,Home,3,1,0,0,2,1,823969
2026-03-31,Taylor Ward,621493,LAA,AL,,Home,5,4,0,2,0,1,824861
2026-03-31,Trent Grisham,663757,NYY,AL,,Away,4,2,0,0,0,1,823158
2026-04-01,Aaron Judge,592450,NYY,AL,,Away,4,0,0,0,0,1,823157
2026-04-01,Byron Buxton,621439,MIN,AL,,Away,4,0,0,0,0,2,824136
2026-04-01,Cal Raleigh,663728,SEA,AL,,Home,4,1,0,2,0,2,823157
2026-04-01,Corbin Carroll,682998,ARI,NL,,Home,3,2,1,1,1,0,825106
2026-04-01,Eugenio Suarez,553993,ARI,NL,,Home,2,1,1,2,0,1,824536
2026-04-01,Hunter Goodman,696100,COL,NL,,Away,4,0,0,0,1,3,822835
2026-04-01,Jo Adell,666176,LAA,AL,,Away,4,1,0,1,0,0,824698
2026-04-01,Juan Soto,665742,NYM,NL,,Away,5,1,1,1,0,1,823078
2026-04-01,Junior Caminero,691406,TB,AL,,Away,4,0,0,0,0,2,823806
2026-04-01,Kyle Schwarber,656941,PHI,NL,,Home,3,1,0,1,1,1,823483
2026-04-01,Michael Busch,683737,CHC,NL,,Home,3,2,0,0,1,1,824698
2026-04-01,Pete Alonso,624413,NYM,NL,,Home,4,1,0,0,1,0,824860
2026-04-01,Pete Crow-Armstrong,691718,CHC,NL,,Home,4,1,0,1,0,2,824698
2026-04-01,Riley Greene,682985,DET,AL,,Away,4,1,0,0,0,2,825106
2026-04-01,Shohei Ohtani,660271,LAD,NL,,Home,3,0,0,0,1,2,823970
2026-04-01,Taylor Ward,621493,LAA,AL,,Home,4,2,0,2,0,1,824860
2026-04-01,Trent Grisham,663757,NYY,AL,,Away,3,0,0,0,1,1,823157
2026-04-01,Vinnie Pasquantino,686469,KC,AL,,Home,4,1,0,1,1,2,824136
2026-04-02,Byron Buxton,621439,MIN,AL,,Away,3,0,0,1,0,1,824133
2026-04-02,Corbin Carroll,682998,ARI,NL,,Home,3,0,0,0,0,2,825105
2026-04-02,Juan Soto,665742,NYM,NL,,Away,4,1,0,0,0,1,823242
2026-04-02,Vinnie Pasquantino,686469,KC,AL,,Home,3,1,0,1,0,0,824133
2026-04-03,Aaron Judge,592450,NYY,AL,,Home,3,2,1,3,1,1,823568
2026-04-03,Byron Buxton,621439,MIN,AL,,Home,3,0,0,0,0,1,823732
2026-04-03,Cal Raleigh,663728,SEA,AL,,Away,4,0,0,0,1,1,824056
2026-04-03,Corbin Carroll,682998,ARI,NL,,Home,2,0,0,0,2,1,825103
2026-04-03,Eugenio Suarez,553993,ARI,NL,,Away,4,2,0,0,0,1,822919
2026-04-03,Hunter Goodman,696100,COL,NL,,Home,4,0,0,0,0,3,824377
2026-04-03,Jo Adell,666176,LAA,AL,,Home,3,0,0,0,0,2,824056
2026-04-03,Juan Soto,665742,NYM,NL,,Away,1,1,0,0,0,0,823240
2026-04-03,Junior Caminero,691406,TB,AL,,Away,5,2,0,0,0,0,823732
2026-04-03,Kyle Schwarber,656941,PHI,NL,,Away,3,1,1,1,2,1,824377
2026-04-03,Michael Busch,683737,CHC,NL,,Away,4,0,0,0,0,1,824458
2026-04-03,Nick Kurtz,701762,OAK,AL,,Home,4,0,0,0,1,2,825026
2026-04-03,Pete Alonso,624413,NYM,NL,,Away,4,0,0,0,1,3,823406
2026-04-03,Pete Crow-Armstrong,691718,CHC,NL,,Away,3,1,0,0,0,0,824458
2026-04-03,Riley Greene,682985,DET,AL,,Home,4,2,0,1,0,0,824299
2026-04-03,Shohei Ohtani,660271,LAD,NL,,Away,5,2,1,4,0,2,822758
2026-04-03,Taylor Ward,621493,LAA,AL,,Away,3,1,0,1,2,2,823406
2026-04-03,Trent Grisham,663757,NYY,AL,,Home,2,0,0,1,3,1,823568
2026-04-04,Aaron Judge,592450,NYY,AL,,Home,4,2,0,1,1,0,823569
2026-04-04,Cal Raleigh,663728,SEA,AL,,Away,4,0,0,0,0,1,824054
2026-04-04,Corbin Carroll,682998,ARI,NL,,Home,2,0,0,0,1,1,825104
2026-04-04,Eugenio Suarez,553993,ARI,NL,,Away,4,0,0,0,0,2,822920
2026-04-04,Hunter Goodman,696100,COL,NL,,Home,4,0,0,0,0,3,824378
2026-04-04,Jo Adell,666176,LAA,AL,,Home,3,1,0,0,0,0,824054
2026-04-04,Junior Caminero,691406,TB,AL,,Away,5,1,0,0,0,0,823730
2026-04-04,Kyle Schwarber,656941,PHI,NL,,Away,4,1,0,1,1,2,824378
2026-04-04,Nick Kurtz,701762,OAK,AL,,Home,3,1,0,0,1,0,825027
2026-04-04,Pete Alonso,624413,NYM,NL,,Away,4,0,0,0,0,2,823404
2026-04-04,Riley Greene,682985,DET,AL,,Home,2,0,0,0,2,0,824295
2026-04-04,Shohei Ohtani,660271,LAD,NL,,Away,6,2,0,0,0,2,822757
2026-04-04,Taylor Ward,621493,LAA,AL,,Away,4,0,0,0,1,1,823404
2026-04-04,Trent Grisham,663757,NYY,AL,,Home,3,1,0,1,2,0,823569
2026-04-04,Vinnie Pasquantino,686469,KC,AL,,Home,5,1,0,0,0,2,824132
2026-04-04,Vinnie Pasquantino,686469,KC,AL,,Home,4,0,0,0,1,1,824134
2026-04-05,Aaron Judge,592450,NYY,AL,,Home,5,2,0,0,0,1,823566
2026-04-05,Byron Buxton,621439,MIN,AL,,Home,4,0,0,0,0,1,823729
2026-04-05,Cal Raleigh,663728,SEA,AL,,Away,5,1,0,0,1,3,824053
2026-04-05,Corbin Carroll,682998,ARI,NL,,Home,4,3,0,1,0,0,825102
2026-04-05,Eugenio Suarez,553993,ARI,NL,,Away,3,1,0,1,1,1,822917
2026-04-05,Hunter Goodman,696100,COL,NL,,Home,4,2,0,0,0,2,824379
2026-04-05,Jo Adell,666176,LAA,AL,,Home,5,1,0,1,0,2,824053
2026-04-05,Junior Caminero,691406,TB,AL,,Away,4,1,1,2,1,0,823729
2026-04-05,Kyle Schwarber,656941,PHI,NL,,Away,3,0,0,0,1,1,824379
2026-04-05,Michael Busch,683737,CHC,NL,,Away,4,0,0,0,0,1,824459
2026-04-05,Michael Busch,683737,CHC,NL,,Away,3,0,0,0,1,1,824460
2026-04-05,Nick Kurtz,701762,OAK,AL,,Home,3,2,0,0,3,1,825025
2026-04-05,Pete Alonso,624413,NYM,NL,,Away,4,1,0,1,0,1,823405
2026-04-05,Pete Crow-Armstrong,691718,CHC,NL,,Away,4,0,0,0,0,2,824459
2026-04-05,Pete Crow-Armstrong,691718,CHC,NL,,Away,4,1,0,0,0,0,824460
2026-04-05,Riley Greene,682985,DET,AL,,Home,4,1,0,0,0,1,824296
2026-04-05,Shohei Ohtani,660271,LAD,NL,,Away,4,2,1,2,0,1,822756
2026-04-05,Taylor Ward,621493,LAA,AL,,Away,4,3,0,0,0,1,823405
2026-04-05,Trent Grisham,663757,NYY,AL,,Home,4,0,0,0,1,2,823566
2026-04-05,Vinnie Pasquantino,686469,KC,AL,,Home,5,2,0,2,0,1,824131
2026-04-06,Byron Buxton,621439,MIN,AL,,Home,4,1,0,0,1,0,823728
2026-04-06,Cal Raleigh,663728,SEA,AL,,Away,3,1,1,1,1,0,822918
2026-04-06,Eugenio Suarez,553993,ARI,NL,,Away,4,0,0,0,0,0,823886
2026-04-06,Hunter Goodman,696100,COL,NL,,Home,5,1,0,1,0,1,824376
2026-04-06,Jo Adell,666176,LAA,AL,,Home,4,2,1,2,0,1,824052
2026-04-06,Junior Caminero,691406,TB,AL,,Home,4,1,1,1,0,1,823002
2026-04-06,Kyle Schwarber,656941,PHI,NL,,Away,3,0,0,0,2,3,823237
2026-04-06,Michael Busch,683737,CHC,NL,,Away,2,0,0,1,1,0,823002
2026-04-06,Pete Alonso,624413,NYM,NL,,Away,4,0,0,0,0,0,824619
2026-04-06,Pete Crow-Armstrong,691718,CHC,NL,,Away,4,0,0,0,0,2,823002
2026-04-06,Riley Greene,682985,DET,AL,,Away,3,0,0,0,1,0,823728
2026-04-06,Shohei Ohtani,660271,LAD,NL,,Away,6,2,1,1,0,2,822832
2026-04-06,Taylor Ward,621493,LAA,AL,,Away,4,1,0,0,0,0,824619
2026-04-06,Vinnie Pasquantino,686469,KC,AL,,Away,4,1,0,0,1,1,824456
2026-04-07,Aaron Judge,592450,NYY,AL,,Home,2,0,0,0,1,0,823567
2026-04-07,Byron Buxton,621439,MIN,AL,,Home,4,1,0,0,1,1,823727
2026-04-07,Cal Raleigh,663728,SEA,AL,,Away,4,1,0,1,0,0,822916
2026-04-07,Corbin Carroll,682998,ARI,NL,,Away,5,1,0,0,0,2,823648
2026-04-07,Eugenio Suarez,553993,ARI,NL,,Away,3,0,0,0,1,1,823887
2026-04-07,Hunter Goodman,696100,COL,NL,,Home,1,0,0,0,0,0,824375
2026-04-07,Jo Adell,666176,LAA,AL,,Home,4,2,0,0,0,0,824051
2026-04-07,Junior Caminero,691406,TB,AL,,Home,3,0,0,0,1,2,822999
2026-04-07,Kyle Schwarber,656941,PHI,NL,,Away,4,1,0,0,0,1,823235
2026-04-07,Michael Busch,683737,CHC,NL,,Away,5,0,0,0,0,1,822999
2026-04-07,Nick Kurtz,701762,OAK,AL,,Away,5,1,0,2,0,2,823567
2026-04-07,Pete Alonso,624413,NYM,NL,,Away,4,0,0,0,1,0,824618
2026-04-07,Pete Crow-Armstrong,691718,CHC,NL,,Away,5,3,1,1,0,0,822999
2026-04-07,Riley Greene,682985,DET,AL,,Away,4,0,0,0,1,3,823727
2026-04-07,Shohei Ohtani,660271,LAD,NL,,Away,3,1,0,1,2,0,822831
2026-04-07,Taylor Ward,621493,LAA,AL,,Away,3,1,0,1,2,2,824618
2026-04-07,Trent Grisham,663757,NYY,AL,,Home,5,0,0,0,0,0,823567
2026-04-07,Vinnie Pasquantino,686469,KC,AL,,Away,3,0,0,0,1,1,824457
2026-04-08,Aaron Judge,592450,NYY,AL,,Home,3,1,0,0,1,1,823564
2026-04-08,Byron Buxton,621439,MIN,AL,,Home,4,3,0,0,1,0,823726
2026-04-08,Cal Raleigh,663728,SEA,AL,,Away,4,0,0,0,0,1,822915
2026-04-08,Corbin Carroll,682998,ARI,NL,,Away,5,3,0,2,0,0,823646
2026-04-08,Eugenio Suarez,553993,ARI,NL,,Away,4,2,0,1,0,1,823885
2026-04-08,Hunter Goodman,696100,COL,NL,,Home,2,1,1,1,2,0,824374
2026-04-08,Jo Adell,666176,LAA,AL,,Home,4,3,0,0,0,0,824050
2026-04-08,Junior Caminero,691406,TB,AL,,Home,4,0,0,0,0,2,823000
2026-04-08,Kyle Schwarber,656941,PHI,NL,,Away,2,1,0,0,2,1,823234
2026-04-08,Michael Busch,683737,CHC,NL,,Away,4,0,0,0,0,1,823000
2026-04-08,Nick Kurtz,701762,OAK,AL,,Away,5,2,0,0,0,2,823564
2026-04-08,Pete Alonso,624413,NYM,NL,,Away,5,1,0,0,0,2,824617
2026-04-08,Pete Crow-Armstrong,691718,CHC,NL,,Away,4,0,0,0,0,1,823000
2026-04-08,Riley Greene,682985,DET,AL,,Away,4,1,0,1,1,1,823726
2026-04-08,Shohei Ohtani,660271,LAD,NL,,Away,3,0,0,0,1,2,822833
2026-04-08,Taylor Ward,621493,LAA,AL,,Away,5,4,0,2,0,0,824617
2026-04-08,Trent Grisham,663757,NYY,AL,,Home,2,1,0,0,2,1,823564
2026-04-08,Vinnie Pasquantino,686469,KC,AL,,Away,4,1,0,0,0,2,824455
2026-04-09,Aaron Judge,592450,NYY,AL,,Home,4,0,0,0,0,1,823565
2026-04-09,Byron Buxton,621439,MIN,AL,,Home,3,0,0,0,1,2,823724
2026-04-09,Eugenio Suarez,553993,ARI,NL,,Away,3,0,0,0,1,0,823884
2026-04-09,Hunter Goodman,696100,COL,NL,,Away,2,0,0,0,0,1,823319
2026-04-09,Nick Kurtz,701762,OAK,AL,,Away,4,2,0,0,0,2,823565
2026-04-09,Riley Greene,682985,DET,AL,,Away,4,1,0,0,0,2,823724
2026-04-09,Trent Grisham,663757,NYY,AL,,Home,1,0,0,0,0,1,823565
2026-04-09,Vinnie Pasquantino,686469,KC,AL,,Home,4,0,0,0,0,2,824130
2026-04-10,Aaron Judge,592450,NYY,AL,,Away,4,1,0,0,0,2,822997
2026-04-10,Byron Buxton,621439,MIN,AL,,Away,5,0,0,0,0,3,822829
2026-04-10,Cal Raleigh,663728,SEA,AL,,Home,3,0,0,1,2,0,823156
2026-04-10,Eugenio Suarez,553993,ARI,NL,,Home,4,2,0,0,0,1,824534
2026-04-10,Hunter Goodman,696100,COL,NL,,Away,1,1,0,1,0,0,823318
2026-04-10,Jo Adell,666176,LAA,AL,,Away,5,0,0,0,0,1,824534
2026-04-10,Junior Caminero,691406,TB,AL,,Home,4,1,0,0,1,1,822997
2026-04-10,Kyle Schwarber,656941,PHI,NL,,Home,3,0,0,0,1,2,823482
2026-04-10,Michael Busch,683737,CHC,NL,,Home,5,0,0,0,0,2,824695
2026-04-10,Nick Kurtz,701762,OAK,AL,,Away,2,0,0,0,2,1,823643
2026-04-10,Pete Alonso,624413,NYM,NL,,Home,3,0,0,0,1,2,824858
